SKU,Producto,Precio neto exworks sin iva,Precio Venta,Margen €,Margen%,Coste de Envio,Unnamed: 7,PVP Recomendado,Descripción,Ancho (cm),Fondo (cm),Alto (cm),Imagen,Proveedor
558-0049,BICOLOR STANDARD-55 REPOSAPIES/FOOTSTOOL/REPOSE-PIEDS,"231,00 €","347,11 €","116,11 €","50,26%",50.0,,420 €,El reposapiés Bicolor STANDARD-55 complementa el conjunto aportando mayor comodidad y versatilidad. Puede utilizarse como extensión del asiento o como apoyo auxiliar manteniendo la coherencia estética del diseño bicolor.,70,45.0,44.0,https://hevea.es/mpcrm/imgs/uploads/sillon%20bicolor%20diva.jpg,Hevea
558-0066,DIVA-7 BICOLOR SET SOFA 2 PLAZAS/SOFA/CANAPÉ,"1.802,00 €","2.706,61 €","904,61 €","50,20%",0.0,,3.275 €,"El Set DIVA 7 Bicolor incluye sofá de 2 plazas, sillones y mesa de centro, formando una composición moderna y equilibrada. Su diseño en doble tonalidad aporta personalidad mientras garantiza confort y resistencia en exterior.",,,,https://hevea.es/mpcrm/imgs/uploads/1739540503_DIVA-7.jpg,Hevea
558-0050,DIVA-8 BICOLOR SET SOFA 3 PLAZAS/SOFA/CANAPÉ,"2.002,00 €","3.008,26 €","1.006,26 €","50,26%",0.0,,3.640 €,"El Set DIVA 8 Bicolor ofrece una solución completa con sofá de 3 plazas, sillones y mesa de centro. Amplio, elegante y confortable, transforma cualquier terraza en un espacio exterior sofisticado.",,,,https://hevea.es/mpcrm/imgs/uploads/1739540503_DIVA_N24.jpg,Hevea
557-010716,LEISA-1 SILLON/ARMCHAIR/FAUTEUIL,"292,00 €","438,02 €","146,02 €","50,01%",50.0,,530 €,El sillón LEISA-1 combina líneas modernas y confort en una pieza ligera y versátil. Su estructura resistente y asiento cómodo lo convierten en una opción ideal para crear rincones acogedores en exteriores actuales.,76,80.0,85.0,https://hevea.es/mpcrm/imgs/uploads/leisa%20sillon.jpg,Hevea
557-010717,LEISA-2 SOFA 2 PLAZAS/SOFA/CANAPÉ,"413,00 €","619,83 €","206,83 €","50,08%",50.0,,750 €,"El sofá LEISA de 2 plazas ofrece equilibrio entre diseño y funcionalidad. Perfecto para terrazas de tamaño medio, proporciona comodidad y una estética contemporánea preparada para el uso exterior.",137,80.0,85.0,https://hevea.es/mpcrm/imgs/uploads/leisa%202%20plazas.jpg,Hevea
557-010718,LEISA-3 SOFA 3 PLAZAS/SOFA/CANAPÉ,"534,00 €","801,65 €","267,65 €","50,12%",0.0,,970 €,El sofá LEISA de 3 plazas aporta amplitud y elegancia al espacio exterior. Sus cojines confortables y su estructura sólida garantizan una experiencia de descanso cómoda y duradera.,196,80.0,85.0,https://hevea.es/mpcrm/imgs/uploads/leisa%20sofa%203%20plazas.jpg,Hevea
557-010719,LEISA-7 SET SOFA 2 PLAZAS/SOFA/CANAPÉ,"1.153,00 €","1.731,40 €","578,40 €","50,17%",0.0,,2.095 €,"El Set LEISA 7 incluye sofá de 2 plazas, sillones y mesa de centro en una composición armoniosa y moderna. Ideal para crear terrazas acogedoras con diseño contemporáneo.",,,,https://hevea.es/mpcrm/imgs/uploads/1739541782_leisa%207.jpg,Hevea
557-010720,LEISA-8 SET SOFA 3 PLAZAS/SOFA/CANAPÉ,"1.318,00 €","1.979,34 €","661,34 €","50,18%",0.0,,2.395 €,"El Set LEISA 8 ofrece un conjunto amplio con sofá de 3 plazas, sillones y mesa de centro. Diseñado para aportar confort, resistencia y estilo en jardines y terrazas actuales.",,,,https://hevea.es/mpcrm/imgs/uploads/1739541782_LEISA_8.jpg,Hevea
557-010103,DOUNVIL-1 SILLON,"264,00 €","396,69 €","132,69 €","50,26%",50.0,,480 €,"El sillón DOUNVIL-1 destaca por su diseño actual y confortable, ideal para espacios exteriores modernos. Su estructura resistente y asiento acogedor proporcionan estabilidad y comodidad.",70,80.0,85.0,https://hevea.es/mpcrm/imgs/uploads/dounvil%20sillon.jpg,Hevea
557-010104,DOUNVIL-2 SOFA 2 PLAZAS,"413,00 €","619,83 €","206,83 €","50,08%",50.0,,750 €,El sofá DOUNVIL de 2 plazas ofrece una solución compacta y elegante para terrazas de tamaño medio. Sus líneas limpias y cojines cómodos lo convierten en una opción funcional y atractiva.,150,80.0,85.0,https://hevea.es/mpcrm/imgs/uploads/dounvil%202%20plazas.jpg,Hevea
557-010105,DOUNVIL-3 SOFA 3 PLAZAS,"534,00 €","801,65 €","267,65 €","50,12%",0.0,,970 €,El sofá DOUNVIL de 3 plazas aporta amplitud y presencia en el salón exterior. Su diseño equilibrado y confortable crea un ambiente relajado perfecto para compartir momentos al aire libre.,190,80.0,85.0,https://hevea.es/mpcrm/imgs/uploads/dounvil%203%20plazas.jpg,Hevea
557-010106,DOUNVIL-7 SET SOFA 2 PLAZAS,"1.092,00 €","1.640,50 €","548,50 €","50,23%",0.0,,1.985 €,"El Set DOUNVIL 7 incluye sofá de 2 plazas, sillones y mesa de centro en una composición equilibrada y moderna. Diseñado para aportar confort y resistencia en exteriores, es ideal para crear terrazas acogedoras con un estilo contemporáneo.",,,,https://hevea.es/mpcrm/imgs/uploads/1739543239_dounvil%207.jpg,Hevea
557-010107,DOUNVIL-8 SET SOFA 3 PLAZAS,"1.263,00 €","1.896,69 €","633,69 €","50,17%",0.0,,2.295 €,"El Set DOUNVIL 8 ofrece una solución amplia y elegante con sofá de 3 plazas, sillones y mesa de centro. Perfecto para quienes buscan un salón exterior cómodo, funcional y con presencia.",,,,https://hevea.es/mpcrm/imgs/uploads/1739543239_dounvil%208.jpg,Hevea
557-1070,MESA CENTRO 90,"152,00 €","227,27 €","75,27 €","49,52%",0.0,,275 €,La mesa de centro 90 combina funcionalidad y diseño moderno en un formato compacto. Ideal para acompañar sofás y sillones de exterior aportando superficie práctica sin sobrecargar el espacio.,90,50.0,40.0,https://hevea.es/mpcrm/imgs/uploads/dounvil%202%20plazas.jpg,Hevea
557-1563,MESA CENTRO 120,"201,00 €","301,65 €","100,65 €","50,08%",50.0,,365 €,La mesa de centro 120 ofrece una superficie amplia y resistente para completar conjuntos de exterior. Su diseño sencillo y contemporáneo aporta equilibrio y funcionalidad al espacio.,120,60.0,40.0,https://hevea.es/mpcrm/imgs/uploads/dounvil%203%20plazas.jpg,Hevea
557-0794,HASTON-1 SILLÓN / ARMCHAIR / FAUTEUIL,"253,00 €","380,17 €","127,17 €","50,26%",50.0,,460 €,"El sillón HASTON-1 destaca por su diseño actual y confortable, ideal para crear rincones relajados en terrazas y jardines. Su estructura resistente y cojines acogedores garantizan estabilidad y comodidad en exterior.",68,62.0,115.0,https://hevea.es/mpcrm/imgs/uploads/reposapies%20haston.jpg,Hevea
557-0795,HASTON-2 SOFÁ 2 PLAZAS / 2 SEATER SOFA / CANAPÉ 2 PLACES,"413,00 €","619,83 €","206,83 €","50,08%",50.0,,750 €,"El sofá HASTON de 2 plazas combina líneas modernas y confort en un formato compacto. Ideal para espacios exteriores de tamaño medio, ofrece una sentada cómoda y duradera.",128,62.0,115.0,https://hevea.es/mpcrm/imgs/uploads/sofa%20dos%20plazas%20haston.jpg,Hevea
557-0796,HASTON-3 SOFÁ 3 PLAZAS / 3 SEATER SOFA / CANAPÉ 3 PLACES,"545,00 €","818,18 €","273,18 €","50,13%",0.0,,990 €,El sofá HASTON de 3 plazas aporta amplitud y elegancia al salón exterior. Sus cojines generosos y diseño equilibrado invitan a disfrutar de largas reuniones al aire libre.,188,62.0,115.0,https://hevea.es/mpcrm/imgs/uploads/haston%203%20plazas.jpg,Hevea
557-0798,HASTON-7 SET SOFÁ 2 PLAZAS / 2 SEATER SOFA SET / SET CANAPÉ 2 PLACES,"1.070,00 €","1.607,44 €","537,44 €","50,23%",0.0,,1.945 €,"El Set HASTON 7 incluye sofá de 2 plazas, sillones y mesa de centro, formando un conjunto moderno y funcional. Perfecto para crear un ambiente exterior acogedor y armonioso.",,,,https://hevea.es/mpcrm/imgs/uploads/1739543115_haston%207.jpg,Hevea
557-0799,HASTON-8 SET SOFÁ 3 PLAZAS / 3 SEATER SOFA SET / SET CANAPÉ 3 PLACES,"1.252,00 €","1.880,17 €","628,17 €","50,17%",0.0,,2.275 €,"El Set HASTON 8 ofrece una composición amplia con sofá de 3 plazas, sillones y mesa de centro. Diseñado para aportar confort, resistencia y estilo en terrazas actuales.",,,,https://hevea.es/mpcrm/imgs/uploads/1739543115_haston%208.jpg,Hevea
557-010146,ACAPULCO-1 SILLÓN / ARMCHAIR / FAUTEUIL,"267,00 €","400,83 €","133,83 €","50,12%",50.0,,485 €,El sillón ACAPULCO-1 combina diseño contemporáneo y comodidad en una pieza versátil para exteriores. Ideal como asiento independiente o complemento dentro de un conjunto moderno.,64,66.0,70.0,https://hevea.es/mpcrm/imgs/uploads/Dise%C3%B1o%20sin%20t%C3%ADtulo%20(82).jpg,Hevea
557-010148,ACAPULCO-2 SOFÁ 2 PLAZAS / 2 SEATER SOFA / CANAPÉ 2 PLACES,"383,00 €","574,38 €","191,38 €","49,97%",50.0,,695 €,"El sofá ACAPULCO de 2 plazas aporta equilibrio entre diseño y funcionalidad. Compacto y elegante, es perfecto para terrazas que buscan confort sin renunciar al estilo.",131,66.0,70.0,https://hevea.es/mpcrm/imgs/uploads/sofa%20acapulco%20(2).jpg,Hevea
557-010147,ACAPULCO-3 SOFÁ 3 PLAZAS / 3 SEATER SOFA / CANAPÉ 3 PLACES,"523,00 €","785,12 €","262,12 €","50,12%",0.0,,950 €,El sofá ACAPULCO de 3 plazas ofrece amplitud y presencia visual en el espacio exterior. Su diseño moderno y asiento confortable lo convierten en el centro del conjunto.,185,66.0,70.0,https://hevea.es/mpcrm/imgs/uploads/sofa%20acapulco%20(1).jpg,Hevea
557-010153,MESA CENTRO 90 HPL UNIVERSAL / 90 HPL COFFEE TABLE / TABLE BASSE 90 HPL,"152,00 €","227,27 €","75,27 €","49,52%",0.0,,275 €,La mesa de centro 90 HPL combina resistencia y diseño minimalista. Su tablero HPL está preparado para soportar las condiciones exteriores manteniendo una estética impecable.,90,50.0,40.0,https://hevea.es/mpcrm/imgs/uploads/mesa%20acapulco%20estandar%20(2).jpg,Hevea
557-010154,MESA CENTRO 120 HPL UNIVERSAL / 120 HPL COFFEE TABLE / TABLE BASSE 120 HPL,"201,00 €","301,65 €","100,65 €","50,08%",50.0,,365 €,La mesa de centro 120 HPL ofrece una superficie amplia y duradera ideal para conjuntos exteriores. Su diseño limpio y materiales resistentes garantizan funcionalidad y estilo.,120,60.0,40.0,https://hevea.es/mpcrm/imgs/uploads/mesa%20acapulco%20estandar%20(1).jpg,Hevea
557-010149,ACAPULCO-7 SET SOFÁ 2 PLAZAS / 2 SEATER SOFA SET / SET CANAPÉ 2 PLACES,"1.067,00 €","1.603,31 €","536,31 €","50,26%",0.0,,1.940 €,"El Set ACAPULCO 7 incluye sofá de 2 plazas, sillones y mesa de centro en una composición equilibrada y moderna. Perfecto para crear terrazas acogedoras y funcionales.",,,,https://hevea.es/mpcrm/imgs/uploads/1739543673_ACAPULCO%207.jpg,Hevea
557-010147,ACAPULCO-8 SET SOFÁ 3 PLAZAS / 3 SEATER SOFA SET / SET CANAPÉ 3 PLACES,"1.257,00 €","1.888,43 €","631,43 €","50,23%",0.0,,2.285 €,"El Set ACAPULCO 8 ofrece un conjunto amplio con sofá de 3 plazas, sillones y mesa de centro. Diseñado para disfrutar del exterior con comodidad y estilo.",,,,https://hevea.es/mpcrm/imgs/uploads/1739543673_ACAPULCO%208.jpg,Hevea
557-0919,PÉRGOLA VENECIA / VENECIA PERGOLA / PERGOLA VENECIA,"930,00 €","1.396,69 €","466,69 €","50,18%",0.0,,1.690 €,"La Pérgola VENECIA crea un espacio protegido y elegante en jardines y terrazas. Su estructura robusta y diseño moderno aportan sombra, confort y sofisticación al ambiente exterior.",300,300.0,250.0,https://hevea.es/mpcrm/imgs/uploads/1739809400_P%C3%89RGOLA%20VENECIA%20-4X3%20BLANCO.jpg,Hevea
557-01951,MANHATAN-1 SILLÓN / ARMCHAIR / FAUTEUIL,"212,00 €","318,18 €","106,18 €","50,09%",50.0,,385 €,"El sillón MANHATAN-1 destaca por su diseño urbano y contemporáneo. Ideal para terrazas modernas, combina comodidad y resistencia en una pieza elegante.",66,66.0,70.0,https://hevea.es/mpcrm/imgs/uploads/manhatan%20(3).jpg,Hevea
557-01952,MANHATAN-2 SOFÁ 2 PLAZAS / 2 SEATER SOFA / CANAPÉ 2 PLACES,"325,00 €","487,60 €","162,60 €","50,03%",50.0,,590 €,"El sofá MANHATAN de 2 plazas ofrece equilibrio entre estilo y funcionalidad. Compacto y confortable, es perfecto para crear espacios exteriores actuales.",133,66.0,70.0,https://hevea.es/mpcrm/imgs/uploads/manhatan%20(1).jpg,Hevea
557-01953,MANHATAN-3 SOFÁ 3 PLAZAS / 3 SEATER SOFA / CANAPÉ 3 PLACES,"468,00 €","702,48 €","234,48 €","50,10%",50.0,,850 €,El sofá MANHATAN de 3 plazas aporta amplitud y carácter al salón exterior. Su diseño moderno y cojines confortables invitan al descanso y la convivencia.,187,66.0,70.0,https://hevea.es/mpcrm/imgs/uploads/manhatan%20(2).jpg,Hevea
557-01954,MANHATAN-7 SET SOFÁ 2 PLAZAS / 2 SEATER SOFA SET / SET CANAPÉ 2 PLACES,"905,00 €","1.359,50 €","454,50 €","50,22%",0.0,,1.645 €,"El Set MANHATAN 7 incluye sofá de 2 plazas, sillones y mesa de centro, formando un conjunto equilibrado ideal para terrazas contemporáneas.",,,,https://hevea.es/mpcrm/imgs/uploads/1739544586_MANHATAN-07.jpg,Hevea
557-01955,MANHATAN-8 SET SOFÁ 3 PLAZAS / 3 SEATER SOFA SET / SET CANAPÉ 3 PLACES,"1.092,00 €","1.640,50 €","548,50 €","50,23%",0.0,,1.985 €,"El Set MANHATAN 8 ofrece una solución amplia con sofá de 3 plazas, sillones y mesa de centro. Diseñado para aportar estilo urbano y confort en exterior.",,,,https://hevea.es/mpcrm/imgs/uploads/1739544586_MANHATAN_8.jpg,Hevea
557-010705,LOIRA-7 HPL SET SOFA RINCONERA / CORNER SET / SET CANAPÉ D’ANGLE,"1.318,00 €","1.979,34 €","661,34 €","50,18%",0.0,,2.395 €,"El Set LOIRA-7 HPL es una rinconera moderna con tablero HPL resistente. Perfecta para optimizar el espacio exterior y crear un ambiente amplio, cómodo y sofisticado.",,,,https://hevea.es/mpcrm/imgs/uploads/1739795165_loira%20rinconera%207.jpg,Hevea
557-010026,LOIRA-8 HPL SET SOFÁ RINCONERA / HPL CORNER SOFA SET / SET CANAPÉ D’ANGLE HPL,"1.725,00 €","2.590,91 €","865,91 €","50,20%",0.0,,3.135 €,El Set LOIRA-8 HPL ofrece una composición de esquina amplia y elegante. Su diseño contemporáneo y materiales resistentes garantizan durabilidad y confort en exteriores.,,,,https://hevea.es/mpcrm/imgs/uploads/1739795165_rinconera%20loira%208.jpg,Hevea
557-010123,LOIRA-30 HPL SET SOFÁ RINCONERA / HPL CORNER SOFA SET / SET CANAPÉ D’ANGLE HPL,"1.920,00 €","2.884,30 €","964,30 €","50,22%",0.0,,3.490 €,"El Set LOIRA-30 HPL destaca por su gran formato y estilo moderno. Ideal para terrazas espaciosas, combina amplitud, funcionalidad y resistencia.",,,,https://hevea.es/mpcrm/imgs/uploads/1739805444_loira%2030.jpg,Hevea
557-1164,ADEL-7 SET SOFÁ RINCONERA / CORNER SOFA SET / SET CANAPÉ D’ANGLE,"1.172,00 €","1.760,33 €","588,33 €","50,20%",0.0,,2.130 €,El Set ADEL-7 es una rinconera diseñada para crear un salón exterior amplio y acogedor. Su estructura resistente y diseño contemporáneo ofrecen comodidad y elegancia en jardines y terrazas.,,,,https://hevea.es/mpcrm/imgs/uploads/1739805512_adel%207.jpg,Hevea
557-010048,ADEL-30 SET SOFÁ RINCONERA / CORNER SOFA SET / SET CANAPÉ D’ANGLE,"1.736,00 €","2.607,44 €","871,44 €","50,20%",0.0,,3.155 €,"El Set ADEL-30 es una rinconera de gran formato diseñada para crear un auténtico salón exterior amplio y sofisticado. Su distribución en esquina optimiza el espacio y favorece la conversación, convirtiéndose en el punto central de terrazas y jardines. Su estructura resistente y cojines confortables garantizan durabilidad y una experiencia de descanso superior al aire libre.",,,,https://hevea.es/mpcrm/imgs/uploads/1739806050_adel%2030.jpg,Hevea
557-010177,CORCEGA-135x90 HPL MESA COMEDOR / HPL DINING TABLE 135x90 / TABLE À MANGER HPL 135x90,"300,00 €","450,41 €","150,41 €","50,14%",50.0,,545 €,"La mesa comedor CÓRCEGA 135x90 HPL combina diseño moderno y alta resistencia para exteriores. Su tablero HPL ofrece gran durabilidad frente a la intemperie y fácil mantenimiento, mientras que su formato rectangular es ideal para reuniones cómodas en terrazas y jardines.",135,90.0,90.0,https://hevea.es/mpcrm/imgs/uploads/mesa%20corcega.png,Hevea
123-0017,CORCEGA-160x90 HPL MESA COMEDOR / HPL DINING TABLE 160x90 / TABLE À MANGER HPL 160x90,"328,00 €","491,74 €","163,74 €","49,92%",50.0,,595 €,"La mesa CÓRCEGA 160x90 HPL amplía el espacio de comedor exterior con una superficie generosa y resistente. Su tablero HPL garantiza durabilidad y estabilidad, perfecta para disfrutar de comidas al aire libre con familia y amigos.",160,90.0,90.0,https://hevea.es/mpcrm/imgs/uploads/corcega%20set.jpeg,Hevea
123-0002,SILLA JANEIRO 3 / JANEIRO CHAIR 3 / CHAISE JANEIRO 3,"91,00 €","136,36 €","45,36 €","49,85%",0.0,,165 €,"La silla JANEIRO 3 destaca por su diseño contemporáneo y estructura resistente para uso exterior. Cómoda y estilizada, es ideal para completar conjuntos de comedor aportando equilibrio entre funcionalidad y estética moderna.",55,50.0,107.0,https://hevea.es/mpcrm/imgs/uploads/1740126347_sillon-janeiro-3-antracita-ALTA.png,Hevea
123-0001,SILLA CÓRCEGA 3 / CORCEGA CHAIR 3 / CHAISE CORSE 3,"80,00 €","119,83 €","39,83 €","49,79%",0.0,,145 €,"La silla CÓRCEGA 3 combina líneas limpias y resistencia estructural. Diseñada para exteriores, ofrece una sentada cómoda y estable, perfecta para acompañar mesas de comedor en terrazas actuales.",55,50.0,90.0,https://hevea.es/mpcrm/imgs/uploads/1740126338_sillon-corcega-3-antracita_ALTA_SF.png,Hevea
123-0013,MESA HPL MUNDRA Ø100 x 76H / HPL MUNDRA TABLE Ø100 x 76H / TABLE HPL MUNDRA Ø100 x 76H,"264,00 €","396,69 €","132,69 €","50,26%",50.0,,480 €,"La mesa MUNDRA Ø100 HPL aporta un diseño redondo y acogedor al comedor exterior. Su tablero HPL resistente y su estructura sólida garantizan durabilidad, siendo ideal para espacios más compactos sin renunciar al estilo.",100,90.0,76.0,https://hevea.es/mpcrm/imgs/uploads/1739982011_mundra%20100.jpg,Hevea
557-011019,HPL MUNDRA 150 MESA / HPL MUNDRA 150 TABLE / TABLE HPL MUNDRA 150,"303,00 €","454,55 €","151,55 €","50,02%",50.0,,550 €,La mesa MUNDRA 150 HPL ofrece una superficie amplia y resistente para comedores exteriores. Su diseño moderno y materiales preparados para exterior la convierten en una opción práctica y elegante.,150,90.0,76.0,https://hevea.es/mpcrm/imgs/uploads/1739982968_mundra%20hpl%20150.jpg,Hevea
123-0011,SILLÓN AVALON-3 / AVALON-3 ARMCHAIR / FAUTEUIL AVALON-3,"53,00 €","78,51 €","25,51 €","48,14%",0.0,,95 €,El sillón AVALON-3 combina comodidad y diseño contemporáneo en una pieza versátil para exterior. Su estructura resistente y asiento confortable lo convierten en el complemento perfecto para zonas de comedor o relax.,58,57.0,100.0,https://hevea.es/mpcrm/imgs/uploads/sillon%20avalon.png,Hevea
123-0038,BRESCIA-12 TUMBONA / SUNBED / BAIN DE SOLEIL,"88,00 €","132,23 €","44,23 €","50,26%",0.0,,160 €,La tumbona BRESCIA-12 está diseñada para ofrecer máximo confort bajo el sol. Su estructura resistente y diseño ergonómico permiten disfrutar de largas jornadas de descanso en jardines y zonas de piscina.,53,136.0,105.0,https://hevea.es/mpcrm/imgs/uploads/tumbona%20brescia.jpg,Hevea
928-0016,PARASOL VIENA 300 / VIENNA PARASOL 300 / PARASOL VIENNE 300,"165,00 €","247,93 €","82,93 €","50,26%",0.0,,300 €,El parasol VIENA 300 proporciona amplia sombra y protección solar en terrazas y jardines. Su diseño elegante y estructura sólida lo convierten en un complemento funcional y decorativo.,300Ø,,,https://hevea.es/mpcrm/imgs/uploads/1739790589_VIENA%20300.jpg,Hevea
557-1682,PARASOL SAMSON Ø350 / SAMSON PARASOL / PARASOL SAMSON,"490,00 €","735,54 €","245,54 €","50,11%",50.0,,890 €,"El parasol SAMSON Ø350 ofrece gran cobertura gracias a su amplio diámetro. Ideal para proteger zonas de comedor o descanso, combina resistencia y diseño moderno.",350Ø,,,https://hevea.es/mpcrm/imgs/uploads/1739789862_samson%20350.jpg,Hevea
928-0010,PARASOL CARACAS 300 / CARACAS PARASOL 300 / PARASOL CARACAS 300,"75,00 €","111,57 €","36,57 €","48,76%",0.0,,135 €,"El parasol CARACAS 300 aporta color y funcionalidad al espacio exterior. Diseñado para proporcionar sombra efectiva, es perfecto para terrazas dinámicas y modernas.",300Ø,,,https://hevea.es/mpcrm/imgs/uploads/1739790899_CARACAS%20250%20-%20300%20NARANJA.jpg,Hevea
921-0026,BASE DE PARASOL 25KG,"36,00 €","53,72 €","17,72 €","49,22%",0.0,,65 €,"La base de parasol 25kg garantiza estabilidad y seguridad para sombrillas de exterior. Compacta y resistente, es el complemento esencial para asegurar el parasol en todo momento.",,,,https://hevea.es/mpcrm/imgs/uploads/1739791182_base%2025-40.png,Hevea
921-0009,JUEGO 4 LOSAS CEMENTO BASE PARASOL GRANITE,"99,00 €","148,76 €","49,76 €","50,26%",0.0,,180 €,"El juego de 4 losas de cemento GRANITE proporciona el peso necesario para bases de parasol de gran formato. Diseñadas para máxima estabilidad, aseguran firmeza incluso en condiciones exteriores exigentes.",,,,https://hevea.es/mpcrm/imgs/uploads/1739790529_granite%20SAMSON-02.jpg,Hevea
557-010143,BALANCÍN SIDNEY,"820,00 €","1.231,40 €","411,40 €","50,17%",0.0,,1.490 €,El balancín SIDNEY ofrece una experiencia de relax única en jardines y terrazas. Su diseño cómodo y estructura resistente lo convierten en el lugar perfecto para desconectar al aire libre.,148,194.0,207.0,https://hevea.es/mpcrm/imgs/uploads/1739806848_sidney.jpg,Hevea
557-010947,YULIEN BANCO CON MESA / YULIEN BENCH WITH TABLE / BANC YULIEN AVEC TABLE,"1.318,00 €","1.979,34 €","661,34 €","50,18%",0.0,,2.395 €,"El banco YULIEN con mesa integrada es una solución práctica y funcional para exteriores. Ideal para zonas de picnic o jardines familiares, combina comodidad y utilidad en una sola pieza.",220,150.0,75.0,https://hevea.es/mpcrm/imgs/uploads/yulien%20banco%20picnic.png,Hevea
557-010016,GULLIVER BANCO / GULLIVER BENCH / BANC GULLIVER,"193,00 €","289,26 €","96,26 €","49,87%",50.0,,350 €,"El banco GULLIVER destaca por su diseño sencillo y resistente. Perfecto para jardines y espacios públicos o privados, aporta funcionalidad y durabilidad.",150,49.0,90.0,https://hevea.es/mpcrm/imgs/uploads/1739809440_gullivert.png,Hevea
557-011350,SEVILLA BANCO / SEVILLA BENCH / BANC SEVILLA,"174,00 €","260,33 €","86,33 €","49,62%",50.0,,315 €,"El banco SEVILLA combina líneas clásicas y resistencia estructural. Ideal para crear zonas de descanso en exteriores, ofrece comodidad y estabilidad en cualquier entorno.",108,42.0,88.0,https://hevea.es/mpcrm/imgs/uploads/banco%20sevilla.png,Hevea
,,,,"360,10 €",,,,1.304 €,,,,,,Hevea
